T	1110
D	60
P	0	17	68571.4285714286	5	Nước yến ĐTHT
P	1	17	434453.781512605	3	Nồi cơm điện 3D Bigsun
P	2	18	146010.101010101	5	Bộ đồ lót nữ Vita Bella
P	3	16	381408.602150538	3	Nồi lẩu điện Mantis
P	4	17	313028.571428571	3	Bộ 2 áo khoác 2 mặt Dore
P	5	20	513025.210084034	5	Nệm massage Bella
P	6	19	401036.414565826	3	Máy khoan cầm tay 103 món D.I.Y
P	7	18	313061.224489796	3	Vòi nước đa năng Magic Hose
P	8	15	210000	3	Bộ nữ trang Hương Nắng Mai
P	9	19	123779.90430622	5	Cao hồng sâm Hàn Quốc 6 năm tuổi
P	10	18	350000	3	Bộ đồ lót Hide & Show
P	11	16	135662.020905923	5	Ba lô Tomi Future 6
P	12	17	337558.823529412	3	Bộ cưa GoodLife
P	13	31	336082.949308756	3	Bộ nữ trang Hoa Biển và Biển Đêm - LIVE 30'
P	14	33	373067.915690867	3	Khóa thông minh - LIVE 30'
P	15	3	60000	5	TPCN giảm béo Lactoferrin (file 3p)
P	16	16	308709.677419355	3	Máy lọc nước CleanSui
P	17	18	1039500	5	Điện thoại di động Coocel M6
P	18	17	420378.151260504	3	Bộ 3 quần Jegging Vita Bela 2015
P	19	18	216550.836550837	3	Quạt làm mát không khí Goodlife
P	20	20	293250	3	Thiết bị hỗ trợ tập bụng Six Pack Care
P	21	19	410488.721804511	3	Điện thoại di động Coocel M4
P	22	20	237606.837606838	3	Bếp điện đơn HN Takashi
P	23	21	110000	5	Drap chống thấm Bảo Hân
P	24	16	333870.967741935	3	Bộ 3 quần Jegging Vita Bela - Ver 2
P	25	19	104432.432432432	3	Bộ nữ trang Tình Yêu Màu Nắng
P	26	31	600875.576036866	5	Bếp ga HN RichMan 1 vòng nhiệt - LIVE 30'
P	27	27	647936.507936508	5	Thiết bị hỗ trợ tập bụng New Six Pack Care - LIVE 30'
P	28	17	210707.070707071	3	Bếp gas Richman vân gỗ
P	29	18	350000	3	Điện thoại di động Kingcom Sigma M1
P	30	16	1979791.66666667	5	Điện thoại di động LV 16
P	31	18	250000	3	Dầu gội nhuộm Hicara
P	32	21	262556.390977444	3	Vali Macat D3X
P	33	30	570508.474576271	5	Đồng hộ mạ vàng kim cương Swissguard - LIVE 30'
F	0	1	60
F	1	61	120
F	2	121	240
F	3	241	300
F	4	301	540
F	5	541	600
F	6	601	840
F	7	841	900
F	8	901	960
F	9	961	1020
F	10	1021	1110
G	0	326	A
G	1	376	B
G	2	191	C
G	3	217	D
A	0	0	1
A	0	1	1
A	0	2	1
A	0	3	1
A	0	4	1
A	0	5	1
A	0	6	1
A	0	7	1
A	0	8	1
A	0	9	1
A	0	10	1
A	0	11	1
A	0	12	1
A	0	13	0
A	0	14	0
A	0	15	1
A	0	16	1
A	0	17	1
A	0	18	1
A	0	19	1
A	0	20	1
A	0	21	1
A	0	22	1
A	0	23	1
A	0	24	1
A	0	25	1
A	0	26	0
A	0	27	0
A	0	28	1
A	0	29	1
A	0	30	1
A	0	31	1
A	0	32	1
A	0	33	0
A	1	0	1
A	1	1	1
A	1	2	1
A	1	3	1
A	1	4	1
A	1	5	1
A	1	6	1
A	1	7	1
A	1	8	1
A	1	9	1
A	1	10	1
A	1	11	1
A	1	12	1
A	1	13	1
A	1	14	1
A	1	15	1
A	1	16	1
A	1	17	1
A	1	18	1
A	1	19	1
A	1	20	1
A	1	21	1
A	1	22	1
A	1	23	1
A	1	24	1
A	1	25	1
A	1	26	1
A	1	27	1
A	1	28	1
A	1	29	1
A	1	30	1
A	1	31	1
A	1	32	1
A	1	33	1
A	2	0	1
A	2	1	1
A	2	2	1
A	2	3	1
A	2	4	1
A	2	5	1
A	2	6	1
A	2	7	1
A	2	8	1
A	2	9	1
A	2	10	1
A	2	11	1
A	2	12	1
A	2	13	0
A	2	14	0
A	2	15	1
A	2	16	1
A	2	17	1
A	2	18	1
A	2	19	1
A	2	20	1
A	2	21	1
A	2	22	1
A	2	23	1
A	2	24	1
A	2	25	1
A	2	26	0
A	2	27	0
A	2	28	1
A	2	29	1
A	2	30	1
A	2	31	1
A	2	32	1
A	2	33	0
A	3	0	1
A	3	1	1
A	3	2	1
A	3	3	1
A	3	4	1
A	3	5	1
A	3	6	1
A	3	7	1
A	3	8	1
A	3	9	1
A	3	10	1
A	3	11	1
A	3	12	1
A	3	13	1
A	3	14	1
A	3	15	1
A	3	16	1
A	3	17	1
A	3	18	1
A	3	19	1
A	3	20	1
A	3	21	1
A	3	22	1
A	3	23	1
A	3	24	1
A	3	25	1
